ChemBL ID,SMILES,Compound Key,Ki,database,Assay ChEMBL ID,Document ChEMBL ID
,COc1cccc(CCCC(=O)N2CCN(c3cccc(OC)c3)CC2)c1,19,11.8,Literature,CHEMBL808908,CHEMBL1131417
,CC(C)(C)OC(=O)NCC(=O)N1CCN(CCCc2ccccc2)CC1,24,175.0,Literature,CHEMBL808908,CHEMBL1131417
CHEMBL145296,COc1cccc(/C=C2/C(=O)C[C@]3(c4cccc(O)c4)CCN(C)[C@H]2C3)c1,(-)-6,46.3,CHEMBL,CHEMBL809526,CHEMBL1128667
CHEMBL145296,COc1cccc(/C=C2/C(=O)CC3(c4cccc(O)c4)CCN(C)C2C3)c1,6,44.3,CHEMBL,CHEMBL809526,CHEMBL1128667
CHEMBL143800,COc1ccc(/C=C2/C(=O)C[C@@]3(c4cccc(O)c4)CCN(C)[C@@H]2C3)cc1,(+)-4,21.6,SRSLDB,CHEMBL809526,CHEMBL1128667
CHEMBL143800,COc1ccc(/C=C2/C(=O)C[C@]3(c4cccc(O)c4)CCN(C)[C@H]2C3)cc1,(-)-4,81.3,CHEMBL,CHEMBL809526,CHEMBL1128667
CHEMBL143800,COc1ccc(/C=C2/C(=O)CC3(c4cccc(O)c4)CCN(C)C2C3)cc1,4,35.0,CHEMBL,CHEMBL809526,CHEMBL1128667
CHEMBL141381,CN1CC[C@]2(c3cccc(O)c3)CC(=O)/C(=C/c3ccc(Cl)cc3)[C@H]1C2,(+)-5,6.4,SRSLDB,CHEMBL809526,CHEMBL1128667
CHEMBL141381,CN1CC[C@@]2(c3cccc(O)c3)CC(=O)/C(=C/c3ccc(Cl)cc3)[C@@H]1C2,(-)-5,26.5,CHEMBL,CHEMBL809526,CHEMBL1128667
CHEMBL141381,CN1CCC2(c3cccc(O)c3)CC(=O)/C(=C/c3ccc(Cl)cc3)C1C2,5,9.5,CHEMBL,CHEMBL809526,CHEMBL1128667
CHEMBL110319,CN1CC[C@]2(c3cccc(O)c3)CC(=O)/C(=C/c3ccccc3)[C@H]1C2,(+)-2,16.5,SRSLDB,CHEMBL809526,CHEMBL1128667
CHEMBL110319,CN1CC[C@@]2(c3cccc(O)c3)CC(=O)/C(=C/c3ccccc3)[C@@H]1C2,(-)-2,154.0,CHEMBL,CHEMBL809526,CHEMBL1128667
CHEMBL110319,CN1CCC2(c3cccc(O)c3)CC(=O)/C(=C/c3ccccc3)C1C2,2,37.0,CHEMBL,CHEMBL809526,CHEMBL1128667
CHEMBL109124,COc1cccc([C@]23CCN(C)[C@H](C2)/C(=C\c2ccccc2)C(=O)C3)c1,(+)-10,52.0,SRSLDB,CHEMBL809526,CHEMBL1128667
CHEMBL109124,COc1cccc(C23CCN(C)C(C2)/C(=C\c2ccccc2)C(=O)C3)c1,10,81.7,CHEMBL,CHEMBL809526,CHEMBL1128667
,N#Cc1ccc(OCC2CCN(CCI)CC2)cc1,4,38.8,Literature,CHEMBL811511,CHEMBL1130041
,O=C(CC(=O)c1ccccc1)NC1CCN(c2ccccc2)CC1,BBP,240.0,Literature,CHEMBL846104,CHEMBL1134305
,COc1cccc2c(NCCN3CCN(C4CCCCC4)CC3)cccc12,30,18.5,NewLiterature,,10.1038/s41598-023-39695-w
,CCCN1CCC=C(c2cc(-c3ccc(C)cc3)no2)C1,PD144418,1377.0,NewLiterature,,10.1016/j.bmc.2022.117032
